id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,ijazah_tertinggi,jumlah_kepsek_guru,satuan,tahun
173,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,<S1,74,ORANG,2019
174,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,>=S1,565,ORANG,2019
175,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,<S1,31,ORANG,2019
176,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,>=S1,707,ORANG,2019
177,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,<S1,26,ORANG,2019
178,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,>=S1,288,ORANG,2019
179,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,<S1,9,ORANG,2019
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,>=S1,261,ORANG,2019
181,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,<S1,97,ORANG,2019
182,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,>=S1,770,ORANG,2019
183,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,<S1,45,ORANG,2019
184,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,>=S1,780,ORANG,2019
185,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,<S1,39,ORANG,2019
186,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,>=S1,335,ORANG,2019
187,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,<S1,16,ORANG,2019
188,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,>=S1,331,ORANG,2019
189,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,<S1,109,ORANG,2019
190,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,>=S1,1643,ORANG,2019
191,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,<S1,39,ORANG,2019
192,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,>=S1,1926,ORANG,2019
193,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,<S1,15,ORANG,2019
194,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,>=S1,336,ORANG,2019
195,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,<S1,7,ORANG,2019
196,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,>=S1,380,ORANG,2019
197,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,<S1,83,ORANG,2019
198,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,>=S1,1148,ORANG,2019
199,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,<S1,43,ORANG,2019
200,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,>=S1,1363,ORANG,2019
201,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,<S1,62,ORANG,2019
202,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,>=S1,751,ORANG,2019
203,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,<S1,24,ORANG,2019
204,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,>=S1,861,ORANG,2019
205,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,<S1,14,ORANG,2019
206,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,>=S1,358,ORANG,2019
207,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,<S1,4,ORANG,2019
208,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,>=S1,458,ORANG,2019
209,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,<S1,28,ORANG,2019
210,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,>=S1,612,ORANG,2019
211,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,<S1,18,ORANG,2019
212,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,>=S1,573,ORANG,2019
213,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,<S1,7,ORANG,2019
214,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,>=S1,218,ORANG,2019
215,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,<S1,2,ORANG,2019
216,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,>=S1,266,ORANG,2019
